FMNH #,Coll. #,Taxon,Site/Location,Date coll (text): (Collection Details)/Date Coll (verb): (Collection Details),Date coll (min): (Collection Details)/Date Coll: (Collection Details),Date coll (max): (Collection Details),Collector: (Collection Details)/Collector: (Specimen Details),Type Status: (Reference #'s)/Type Status: (Identification),Status: (Reference #'s)/Fate: (Collection Details)/Status: (Specimen Custody),Collection Notes/Collection Notes: (Notes)/Collection Notes: (Collection Details),Notes: (Note Details),Sex: (Reference #'s)/Sex: (Identification)
211504,2263,Anolis cristatellus cristatellus,"North America, Puerto Rico: Barrio Cotui, near Lajas",,29 Jan 1979,,A. R. Resetar,,,,,
211505,2264,Anolis cristatellus cristatellus,"North America, Puerto Rico: Barrio Cotui, near Lajas",,29 Jan 1979,,A. R. Resetar,,,,,
211506,2265,Anolis cristatellus cristatellus,"North America, Puerto Rico: Barrio Cotui, near Lajas",,29 Jan 1979,,A. R. Resetar,,,,,
211507,2266,Anolis cristatellus cristatellus,"North America, Puerto Rico: Barrio Cotui, near Lajas",,29 Jan 1979,,A. R. Resetar,,,,,
211508,2272,Anolis cristatellus cristatellus,"North America, Puerto Rico: Reserva Forestal Susua, along Rio Loco",,02 Feb 1979,,A. R. Resetar,,,,Sugar cane river trail. 8:30-10:30 pm.,
211509,2275,Anolis cristatellus cristatellus,"North America, Puerto Rico: Mayaguez, Mayaguez Zoo",,30 Jan 1979,,A. R. Resetar,,,,,
211510,2283,Anolis cristatellus cristatellus,"North America, Puerto Rico: Reserva Forestal Susua, along Rio Loco",,03 Feb 1979,,A. R. Resetar,,,,Dry uplands.,
211511,2284,Anolis cristatellus cristatellus,"North America, Puerto Rico: Reserva Forestal Susua, along Rio Loco",,03 Feb 1979,,A. R. Resetar,,,,Dry uplands.,
211512,2290,Anolis cristatellus cristatellus,"North America, Puerto Rico: Reserva Forestal Guanica, E of Guanica",,03 Feb 1979,,A. R. Resetar,,,,,
211513,,Anolis cristatellus cristatellus,"North America, Puerto Rico: Reserva Forestal Guanica, E of Guanica",,03 Feb 1979,,A. R. Resetar,,,,,
211514,2292,Anolis cristatellus cristatellus,"North America, Puerto Rico: Reserva Forestal Guanica, E of Guanica",,03 Feb 1979,,A. R. Resetar,,,,,
211515,2293,Anolis cristatellus cristatellus,"North America, Puerto Rico: Hwy 333, southeast of Guanica between Playa Cana Gorda & Playa Tamarindo",,03 Feb 1979,,A. R. Resetar,,,,Near beach.,
211516,2294,Anolis cristatellus cristatellus,"North America, Puerto Rico: Hwy 333, southeast of Guanica between Playa Cana Gorda & Playa Tamarindo",,03 Feb 1979,,A. R. Resetar,,,,Near beach.,
211517,2295,Anolis cristatellus cristatellus,"North America, Puerto Rico: Hwy 333, southeast of Guanica between Playa Cana Gorda & Playa Tamarindo",,03 Feb 1979,,A. R. Resetar,,,,Near beach.,
211518,2296,Anolis cristatellus cristatellus,"North America, Puerto Rico: Hwy 333, southeast of Guanica between Playa Cana Gorda & Playa Tamarindo",,03 Feb 1979,,A. R. Resetar,,,,Near beach.,
211519,2408,Anolis cristatellus cristatellus,"North America, Puerto Rico: along Rio Rosorio at Hwy 114, W of San German, E of Cabo Rojo, E of intersection with Hwy 319",,11 Feb 1979,,A. R. Resetar,,,,Dewlap greenish yellow merging into orange bordered on outer edge by white.,
211520,2435,Anolis cristatellus cristatellus,"North America, Puerto Rico: Reserva Forestal Maricao, Bosque Estatal de Monte del Estado, Area de Recreo Merendoros, ""Lookout"" area",,12 Feb 1979,,A. R. Resetar,,,,On ground in vicinity of fallen logs; photo. Greenish yellow merging into orange outer bordered dewlap.,
211521,2436,Anolis cristatellus cristatellus,"North America, Puerto Rico: Reserva Forestal Maricao, Bosque Estatal de Monte del Estado, Area de Recreo Merendoros, ""Lookout"" area",,12 Feb 1979,,A. R. Resetar,,,,Dewlap greenish yellow merging into orange bordered on outer edge by white.,
211522,2437,Anolis cristatellus cristatellus,"North America, Puerto Rico: Reserva Forestal Maricao, Bosque Estatal de Monte del Estado, Area de Recreo Merendoros, ""Lookout"" area",,12 Feb 1979,,A. R. Resetar,,,,Dewlap greenish yellow merging into orange bordered on outer edge by white.,
12423,57,Anolis cristatellus,"North America, Puerto Rico: Mayaguez",,20 Dec 1923,,S. T. Danforth,,,,,
12426,60,Anolis cristatellus,"North America, Puerto Rico: Mayaguez",,20 Dec 1923,,S. T. Danforth,,,,,
12431,65,Anolis cristatellus,"North America, Puerto Rico: Mayaguez",,20 Dec 1923,,S. T. Danforth,,,,,
12432,66,Anolis cristatellus,"North America, Puerto Rico: Mayaguez",,20 Dec 1923,,S. T. Danforth,,,,,
12435,69,Anolis cristatellus,"North America, Puerto Rico: Mayaguez",,20 Dec 1923,,S. T. Danforth,,,,,
12437,71,Anolis cristatellus,"North America, Puerto Rico: Mayaguez",,20 Dec 1923,,S. T. Danforth,,,,,
12438,106,Anolis cristatellus,"North America, Puerto Rico: Mayaguez",,25 May 1924,,S. T. Danforth,,,,,
12439,13,Anolis cristatellus,"North America, Puerto Rico: Desengano",,07 Oct 1924,,S. T. Danforth,,,,,
12440,1,Anolis cristatellus,"North America, Puerto Rico: Desengano",,11 Jan 1924,,S. T. Danforth,,,,,
12451,14,Anolis cristatellus,"North America, Puerto Rico: Rio Piedras",,03 Jan 1924,,S. T. Danforth,,,,,
12452,15,Anolis cristatellus,"North America, Puerto Rico: Rio Piedras",,03 Jan 1924,,S. T. Danforth,,,,,
12453,16,Anolis cristatellus,"North America, Puerto Rico: Rio Piedras",,03 Jan 1924,,S. T. Danforth,,,,,
12454,17,Anolis cristatellus,"North America, Puerto Rico: Rio Piedras",,03 Jan 1924,,S. T. Danforth,,,,,
12455,20,Anolis cristatellus,"North America, Puerto Rico: Rio Piedras",,03 Jan 1924,,S. T. Danforth,,,,,
12456,21,Anolis cristatellus,"North America, Puerto Rico: Rio Piedras",,03 Jan 1924,,S. T. Danforth,,,,,
12457,22,Anolis cristatellus,"North America, Puerto Rico: Rio Piedras",,03 Jan 1924,,S. T. Danforth,,,,,
12458,23,Anolis cristatellus,"North America, Puerto Rico: Rio Piedras",,03 Jan 1924,,S. T. Danforth,,,,,
12459,24,Anolis cristatellus,"North America, Puerto Rico: Rio Piedras",,03 Jan 1924,,S. T. Danforth,,,,,
12460,87,Anolis cristatellus,"North America, Puerto Rico: Rio Piedras",,03 Jan 1924,,S. T. Danforth,,,,,
